,region,file_name,treeID,Model,point2tree_area,voxel_volume,convex_hull_volume,voxel_area,Iteration,point2tree_volume,Recon_iter,Precision,Recall,F1 Score,graham_volume,graham_Area,convex_hull_area,density_points_per_m2,num_point,bounding_box_area_m2,file
93,NIBIO,./NIBIO/plot_11_annotated.las,27,tree_95,12.48250238,44.584,99.05175,11.16,3400,66.91797781,3400,0.968285689,0.73113,0.833160151,54.17718723,7.092550113,10.69965,5627.794233,80563,14.3152,plot_11_annotated.las
94,NIBIO,./NIBIO/plot_11_annotated.las,29,tree_96,11.42126149,38.608,112.9726303,13.08,3400,42.33182161,3400,0.934217029,0.69893,0.799624647,47.57640059,9.708900103,14.2164,1691.264675,34401,20.3404,plot_11_annotated.las
95,NIBIO,./NIBIO/plot_11_annotated.las,30,tree_97,9.552589666,31.544,47.31405917,9.56,3400,34.81717112,3400,0.971605469,0.8952,0.931839156,29.94781963,6.700100235,9.2825,5003.65733,58145,11.6205,plot_11_annotated.las
96,NIBIO,./NIBIO/plot_11_annotated.las,31,tree_98,28.65352495,106.832,320.7234668,25.72,3400,197.7449763,3400,0.80986,0.52739,0.638791648,178.1640742,19.43754911,26.90635,2960.66461,100000,33.7762,plot_11_annotated.las
97,NIBIO,./NIBIO/plot_12_annotated.las,1,tree_99,16.11430752,48.008,69.704608,13.48,3400,56.48905407,3400,0.93561,0.84,0.885230878,49.59186496,11.13479994,14.53985,4200.568757,100000,23.8063,plot_12_annotated.las
98,NIBIO,./NIBIO/plot_12_annotated.las,2,tree_100,33.2821735,84.976,153.6047822,24.76,3400,159.8899103,3400,0.88434,0.65523,0.75273758,110.7652098,19.14070074,25.47525,3011.277233,100000,33.2085,plot_12_annotated.las
99,NIBIO,./NIBIO/plot_12_annotated.las,3,tree_101,12.86401215,40.264,102.6558078,13.24,3400,51.29267105,3400,0.944960296,0.73519,0.826980017,51.63280745,8.861399978,13.96365,2097.466402,47602,22.695,plot_12_annotated.las
100,NIBIO,./NIBIO/plot_12_annotated.las,4,tree_102,38.58914686,99.0,372.1614497,33.8,3400,204.5622249,3400,0.83598,0.57236,0.679497157,175.8034177,26.90665032,37.9584,1893.458857,100000,52.8134,plot_12_annotated.las
101,NIBIO,./NIBIO/plot_12_annotated.las,5,tree_103,25.22743646,56.776,163.9897602,23.76,3400,78.5551665,3400,0.938255497,0.76535,0.843028325,97.40329958,15.42114957,26.1403,2084.442074,78177,37.505,plot_12_annotated.las
102,NIBIO,./NIBIO/plot_12_annotated.las,6,tree_104,10.54784778,23.704,70.66324617,11.16,3400,26.95915322,3400,0.961741334,0.77456,0.858061159,28.13909758,6.29400022,11.7263,1685.126719,29196,17.3257,plot_12_annotated.las
103,NIBIO,./NIBIO/plot_12_annotated.las,7,tree_105,16.21058534,59.504,122.1206253,15.08,3400,90.37503781,3400,0.95807,0.77597,0.857458395,76.44835601,12.17384925,15.501,4778.013493,100000,20.9292,plot_12_annotated.las
104,NIBIO,./NIBIO/plot_12_annotated.las,9,tree_107,14.29320811,65.36,159.0222993,13.56,3400,95.58343429,3400,0.90769,0.71716,0.801254221,73.79201734,8.63984992,12.71445,5760.235939,100000,17.3604,plot_12_annotated.las
105,NIBIO,./NIBIO/plot_12_annotated.las,10,tree_108,44.61967771,92.16,327.1829475,38.08,3400,228.3802544,3400,0.89954,0.63989,0.747817894,176.004325,31.67820062,43.61755,1647.565886,100000,60.6956,plot_12_annotated.las
106,NIBIO,./NIBIO/plot_12_annotated.las,11,tree_109,25.49025718,94.864,185.2028848,23.52,3400,148.9854064,3400,0.87126,0.74262,0.801813147,129.4574083,18.13585074,23.8979,3201.219024,100000,31.2381,plot_12_annotated.las
